quadkey_z12,year,quarter,date,avg_download_mbps,avg_upload_mbps,avg_lat_ms,tests
122001232220,2019,1,2019-Q1,15.572,8.1435,37.166666666666664,23
122001232222,2019,1,2019-Q1,9.571,3.305,37.0,1
122001232230,2019,1,2019-Q1,5.806,1.507,52.666666666666664,7
122001232231,2019,1,2019-Q1,0.115,0.004,474.0,1
122001232300,2019,1,2019-Q1,9.0626,5.489933333333333,97.46666666666667,370
122001232301,2019,1,2019-Q1,15.76025,2.278375,38.125,78
122001232310,2019,1,2019-Q1,8.8915,2.54225,41.75,26
122001232311,2019,1,2019-Q1,4.520875,4.583145833333333,66.58333333333333,307
122001232312,2019,1,2019-Q1,3.177,3.1891666666666665,54.583333333333336,28
122001232313,2019,1,2019-Q1,3.3619,4.5709,48.8,18
122001232320,2019,1,2019-Q1,4.295,0.272,65.0,1
122001232321,2019,1,2019-Q1,0.068,2.02,55.0,1
122001232323,2019,1,2019-Q1,4.533,0.538,124.0,1
122001232330,2019,1,2019-Q1,3.318,0.9985,120.5,2
